FROM,TO,TIMING
 DEHU,ALANDI, 6.30AM 6.50AM 7.10AM 7.30AM 7.50AM 8.10AM 8.30AM 8.50AM 9.00PM 9.10PM 9.25PM 9.35PM 9.50PM 10.05AM 10.15AM 10.25AM 10.35AM 10.45AM 11.00AM 11.20AM 11.40AM 12.00PM 12.15PM 12.25PM 12.40PM 12.55PM 1.05PM 1.15PM 1.25PM 1.35PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.45PM 3.00PM 3.15PM 3.25PM 3.35PM 3.45PM 3.55PM 4.10PM 4.20PM 4.30PM 4.40PM 4.55PM 5.05PM 5.25PM 5.35PM 5.45PM 6.00PM 6.15PM 6.25PM 6.35PM 6.50PM 7.10PM 7.20PM 7.30PM 7.45PM 7.55PM 8.05PM 8.25PM 8.35PM 8.50PM 9.20PM 9.35PM 9.45PM 10.05PM 10.30PM 10.55PM 11.20PM
BHOSARI,ALANDI,5.00AM 5.20AM 5.40AM 6.00AM 6.20AM 6.40AM 6.55AM 7.20AM 7.45AM 8.10AM 8.35AM 8.55AM
 ALANDI,BHOSARI, 8.20PM 8.40PM 8.50PM 9.05PM 9.35PM 9.55PM 10.30PM 10.30PM 11.10PM 11.40PM 12.05AM 12.30AM 
 STATION,PIMPRIGAON,7.50AM 9.15AM 11.05AM 12.05PM 3.20PM 4.35PM 6.05PM 7.30PM
 PIMPRIGAON,STATION, 7.50AM 9.10AM 10.40AM 12.30PM 3.20PM 4.40PM 6.05PM 7.30PM
 STATION,CHINCHWADGAON,5.25AM 5.55AM 6.25AM 6.50AM 7.10AM 7.40AM 8.05AM 8.35AM 9.00AM 9.25AM 9.50AM 10.20AM 11.25AM 11.55AM 12.20PM 12.45PM 1.10PM 1.40PM 2.40PM 3.05PM 3.30PM 4.00PM 4.25PM 5.00PM 5.45PM 6.15PM 6.40PM 7.10PM 7.50PM 8.25PM 8.45PM 9.05PM 9.40PM
 CHINCHWADGAON,STATION, 6.45AM 7.15AM 7.40AM 8.05AM 8.30AM 9.00AM 9.30AM 10.00AM 10.25AM 10.50AM 11.15AM 11.45AM 12.50PM 1.20PM 1.45PM 2.10PM 2.35PM 3.05PM 4.00PM 4.25PM 4.50PM 5.20PM 5.45PM 6.15PM 7.10PM 7.40PM 8.15PM 8.40PM 9.10PM 9.40PM 10.00PM 10.30PM 11.05PM
 CHINCHAWAD,CHANDKHED, 5.30AM 5.55AM 6.15AM 6.40AM 7.00AM 7.25AM 7.55AM 8.25AM 8.50AM 9.15AM 9.35AM 10.00AM 10.25AM 11.00AM 11.30AM 12.00PM 12.45PM 1.20PM 1.50PM 2.20PM 2.50PM 3.15PM 3.30PM 3.45PM 4.15PM 4.45PM 5.15PM 5.40PM 6.00PM 6.20PM 6.50PM 7.20PM 7.50PM 8.15PM
 CHANDKHED,CHINCHWAD, 6.20AM 6.45AM 7.10AM 7.40AM 8.00AM 8.40AM 9.10AM 9.40AM 10.10AM 10.40AM 11.00AM 11.45AM 12.15PM 12.45PM 1.15PM 1.45PM 2.10PM 2.30PM 3.00PM 3.30PM 4.00PM 4.25PM 4.45PM 5.05PM 5.35PM 6.05PM 6.35PM 7.00PM 7.20PM 8.05PM 8.35PM 9.05PM 9.35PM 10.00PM
 BALEWADI DEPO,CHINCHWADGAON, 6.10AM 6.30AM 9.05AM
 CHINCHWADGAON,BALEWADI DEPO, 8.30PM
 NIGDI,MAHALUNGE DWARKACITY, 5.00AM 5.40AM 6.00AM 6.20AM 6.40AM 7.00AM 7.20AM 7.40AM 8.00AM 8.20AM 8.40AM 9.00AM 9.20AM 9.40AM 10.05AM 10.30AM 10.50AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.10PM 1.55PM 2.30PM 3.05PM 3.25PM 3.45PM 4.15PM 4.35PM 4.55PM 5.15PM 5.35PM 5.55PM 6.15PM 6.35PM 7.00PM 7.20PM 7.40PM 8.00PM 8.30PM 9.30PM
 MAHALUNGE DWARKACITY,NIGDI, 6.00AM 6.35AM 7.00AM 7.20AM 7.40AM 8.00AM 8.20PM 8.40PM 9.00PM 9.20PM 9.40PM 10.00PM 10.20PM 10.40PM 11.00PM 11.25AM 11.45PM 12.30PM 12.50PM 1.10PM 1.30PM 1.50PM 2.10PM 2.50PM 3.30PM 4.10PM 4.30PM 4.50PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.35PM 8.00PM 8.20PM 8.40PM 9.00PM 9.30PM 10.30PM
 PUNE STATION,BHOSARI, 4.35AM 4.55AM 5.15AM 5.30AM 5.50AM 6.10AM 6.25AM 6.35AM 6.50AM 7.00AM 7.15AM 7.25AM 7.40AM 7.50AM 8.05AM 8.15AM 8.30AM 8.40AM 8.55AM 9.05AM 9.25AM 9.40AM 10.00AM 10.20AM 10.35AM 10.50AM 11.00AM 11.15AM 11.30AM 11.45AM 12.00PM 12.10PM 12.25PM 12.40PM 1.00PM 1.20PM 1.40PM 2.00PM 2.20PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 3.55PM 4.10PM 4.25PM 4.35PM 4.45PM 4.55PM 5.10PM 5.20PM 5.30PM 5.45PM 6.00PM 6.15PM 6.35PM 6.55PM 7.10PM 7.25PM 7.35PM 7.45PM 8.00PM 8.20PM 8.30PM 8.45PM 9.00PM 9.15PM 9.35PM 9.55PM 10.10PM 10.30PM
 BHOSARI,PUNE STATION, 5.40AM 6.00AM 6.20AM 6.40AM 7.00AM 7.20AM 7.35AM 7.50AM 8.05AM 8.15AM 8.30AM 8.40AM 8.55AM 9.05AM 9.20AM 9.30AM 9.45AM 9.55AM 10.10AM 10.20AM 10.40AM 10.55AM 11.15AM 11.35AM 11.50AM 12.05PM 12.15PM 12.30PM 12.45PM 1.00PM 1.15PM 1.25PM 1.40PM 2.00PM 2.20PM 2.40PM 2.55PM 3.15PM 3.35PM 3.55PM 4.10PM 4.25PM 4.40PM 4.55PM 5.10PM 5.25PM 5.40PM 5.50PM 6.00PM 6.10PM 6.25PM 6.35PM 6.45PM 7.00PM 7.10PM 7.15PM 7.30PM 8.10PM 8.25PM 8.35PM 8.50PM 9.00PM 9.15PM 9.35PM 9.45PM 10.00PM 10.15PM 10.30PM 10.50PM 11.05PM 11.20PM 11.40PM
 CHINCHWADGAON,KHAMBOLI, 6.15AM 9.15AM 2.00PM 5.30PM
KHAMBOLI,CHINCHWADGAON, 7.40AM 10.40AM 3.30PM 7.05PM
 BALEWADI DEPO,CHINCHWADGAON, 5.50AM
 CHINCHWADGAON,BALEWADI DEPO, 8.40PM
 STATION,SANBHAJI NAGAR, 5.00AM 6.10AM 6.50AM 7.40AM 8.15AM 8.55AM 9.35AM 11.00AM 11.30AM 12.00PM 12.20PM 1.00PM 2.30PM 3.05PM 3.35PM 4.15PM 5.20PM 5.55PM 6.15PM 6.25PM 7.20PM 8.35PM
 SANBHAJI NAGAR,STATION, 6.15AM 7.30AM 8.10AM 9.05AM 9.40AM 10.20AM 10.40AM 11.05AM 12.25PM 1.05PM 1.25PM 1.45PM 2.25PM 3.55PM 4.30PM 5.00PM 5.40PM 6.45PM 7.20PM 8.15PM 8.50PM 10.00PM
 CHINCHWADGAON,HINJEWADI , 7.30AM 8.05AM 9.10AM 9.55AM 11.30AM 12.20PM 3.05PM 4.10PM 4.45PM 6.00PM 6.35PM
 HINJEWADI,CHINCHWADGAON, 8.20AM 9.00AM 10.05AM 10.50AM 12.25PM 1.10PM 3.55PM 5.05PM 5.40PM 7.00PM 7.35PM
 BALEWADI DEPO,CHINCHWADGAON, 7.00AM 7.35AM
 CHINCHWADGAON,BALEWADI DEPO, 8.00PM 9.00PM
 MEGAPOLISE,INTERNITI COMPANY PHASE 3, 8.05AM 8.45AM 9.25AM 10.05AM 11.15AM 11.55AM 3.30PM 4.10PM 4.50PM 5.30PM 6.10PM
 INTERNITI COMPANY PHASE 3,MEGAPOLISE, 8.25AM 9.05AM 9.45AM 10.25AM 11.35AM 12.15PM 3.50PM 4.30PM 5.10PM 5.50PM 6.30PM
 AKURDI STATION,MANAPA ,5.15AM 5.40AM 5.55AM 6.15AM 6.30AM 6.55AM 7.05AM 7.25AM 7.35AM 7.45AM 7.55AM 8.15AM 8.20AM 8.35AM 8.55AM 9.10AM 9.35AM 9.50AM 10.20AM 10.40AM 11.00AM 11.10AM 11.20AM 11.45AM 12.00PM 12.20PM 12.35PM 1.00PM 1.15PM 1.40PM 1.55PM 2.10PM 2.30PM 2.50PM 3.20PM 3.35PM 4.05PM 4.20PM 4.50PM 5.05PM 5.15PM 5.35PM 5.50PM 6.20PM 6.35PM 6.50PM 7.10PM 7.45PM 8.05PM 8.25PM 8.45PM 9.05PM
 MANAPA,AKURDI STATION, 6.30AM 6.55AM 7.10AM 7.30AM 7.45AM 8.10AM 8.25AM 8.50AM 9.00AM 9.10AM 9.20AM 9.40AM 9.45AM 10.00AM 10.20AM 10.35AM 11.00AM 11.15AM 11.45AM 12.05PM 12.25PM 12.35PM 12.45PM 1.10PM 1.25PM 1.50PM 2.00PM 2.25PM 2.40PM 3.05PM 3.20PM 3.35PM 3.50PM 4.20PM 4.50PM 5.05PM 5.35PM 5.50PM 6.20PM 6.35PM 6.45PM 7.05PM 7.20PM 7.50PM 8.05PM 8.20PM 8.40PM 9.15PM 9.35PM 9.55PM 10.15PM 10.35PM
 AKURDI STATION,MANAPA,6.05AM 6.45AM 7.15AM 8.10AM 8.45AM 9.25AM 10.05AM 11.35AM 12.10PM 12.50PM 1.25PM 3.05PM 3.30PM 4.35PM 5.20PM 6.05PM 7.25PM
 MANAPA,AKURDI STATION, 7.20AM 8.00AM 8.35AM 9.35AM 10.10AM 10.50AM 11.25AM 1.00PM 1.35PM 2.15PM 2.50PM 4.35PM 5.20PM 6.05PM 6.50PM 7.35PM 8.55PM
 CHIKHALI NAGESHWAR VIDYALAY,MANAPA, 6.00AM 6.45AM 7.30AM 8.15AM 8.40AM 9.05AM 9.30AM 9.50AM 10.15AM 10.40AM 11.10AM 12.00PM 12.25PM 12.50PM 1.10PM 1.35PM 2.00PM 3.00PM 3.30PM 4.00PM 4.25PM 5.00PM 5.30PM 6.00PM 6.30PM 7.00PM 7.40PM 8.30PM
 MANAPA,CHIKHALI NAGESHWAR VIDYALAY, 7.20AM 8.05AM 8.50AM 9.35AM 10.05AM 10.30AM 10.55AM 11.15AM 11.40AM 12.05PM 12.35PM 1.25PM 1.50PM 2.15PM 2.35PM 3.00PM 3.25PM 4.25PM 4.55PM 5.25PM 5.50PM 6.25PM 6.55PM 7.25PM 7.55PM 8.25PM 9.00PM 9.50PM
 GHARKUL VASAHAT,MANAPA ,6.15AM 9.00AM 11.55AM 2.05PM 4.45PM 7.20PM
 MANAPA,GHARKUL VASAHAT, 7.40AM 10.20AM 1.10PM 3.10PM 6.00PM 8.35PM
 BHOSARI,HINJEWADI,5.30AM 6.00AM 6.20AM 6.40AM 7.00AM 7.20AM 7.30AM 7.50AM 8.00AM 8.10AM 8.30AM 8.40AM 8.50AM 9.10AM 9.20AM 9.30AM 9.50AM 10.00AM 10.20AM 11.00AM 11.10AM 11.30AM 11.40AM 11.50AM 12.10PM 12.20PM 12.30PM 12.50PM 1.00PM 1.20PM 1.40PM 1.50PM 2.10PM 2.20PM 2.30PM 2.50PM 3.00PM 3.10PM 3.30PM 3.40PM 4.00PM 4.10PM 4.20PM 4.40PM 4.50PM 5.00PM 5.20PM 5.30PM 5.40PM 6.00PM 6.10PM 6.30PM 7.10PM 7.40PM 8.00PM 8.20PM 8.40PM 9.00PM
 HINJEWADI,BHOSARI, 6.45AM 7.15AM 7.35AM 7.55AM 8.15AM 8.35AM 8.45AM 9.05AM 9.15AM 9.25AM 9.45AM 9.55AM 10.05AM 10.25AM 10.35AM 10.45AM 11.05AM 11.15AM 11.35AM 12.15PM 12.25PM 12.45PM 12.55PM 1.05PM 1.25PM 1.35PM 1.45PM 2.05PM 2.15PM 2.35PM 2.55PM 3.05PM 3.25PM 3.35PM 3.45PM 4.05PM 4.15PM 4.25PM 4.45PM 4.55PM 5.15PM 5.25PM 5.35PM 5.55PM 6.05PM 6.15PM 6.35PM 6.45PM 6.55PM 7.15PM 7.25PM 7.45PM 8.25PM 8.55PM 9.15PM 9.35PM 9.55PM 10.15PM
PUNE STATION,PIMPLE SAUDAGAR, 5.15AM 6.30AM 8.00AM 9.15AM 11.30AM 12.45PM 3.00PM 4.30PM 6.00PM 7.30PM
 PIMPLE SAUDAGAR,PUNE STATION,6.30AM 7.45AM 9.30AM 10.45AM 1.00PM 2.15PM 4.30PM 6.00PM 7.30PM 9.00PM
PIMPRIGAON,CHIKHALI NAGESHWAR VIDYALAY VIA KUDALWADI, 5.30AM 6.50AM 8.15AM 9.50AM 12.00PM 1.45PM 3.10PM 4.40PM  6.15PM 8.20PM
 CHIKHALI NAGESHWAR VIDYALAY,PIMPRIGAON VIA KUDALWADI, 6.00AM 7.30AM 9.00AM 10.40AM 12.45PM 2.25PM 3.55PM 5.30PM 7.30PM 9.00PM
PIMPRIGAON,CHIKHALI NAGESHWAR VIDYALAY VIA JADHAVWADI,5.50AM 7.05AM 8.40AM 10.15AM 12.25PM 2.10PM 3.35PM 5.05PM 6.40PM 8.40PM
CHIKHALI NAGESHWAR VIDYALAY,PIMPRIGAON VIA JADHAVWADI, 6.20AM 7.55AM 9.25AM 11.00AM 1.10PM 2.50PM 4.20PM 5.50PM 7.55PM 9.25PM
 ALANDI,HINJEWADI, 6.30AM 7.05AM 7.45AM 8.25AM 9.05AM 9.45AM 10.20AM 10.55AM 11.35AM 12.45PM 1.25PM 2.05PM 2.45PM 3.20PM 4.00PM 4.40PM 5.20PM 6.00PM 6.35PM 7.10PM 7.50PM
 HINJEWADI,ALANDI, 6.30AM 7.10AM 7.50AM 8.25AM 9.00AM 9.40AM 10.20AM 11.00AM 11.40AM 12.45PM 1.20PM 2.00PM 2.45PM 3.25PM 4.05PM 4.40PM 5.15PM 5.55PM 6.35PM 7.15PM 7.55PM
 BHOSARI,ALANDI, 6.00AM 6.35AM 7.15AM
 ALANDI,BHOSARI, 9.05PM 9.45PM 10.25PM
 BHOSARI,HINJEWADI, 5.20AM 6.00AM 6.40AM
 HINJEWADI,BHOSARI, 9.00PM 9.35PM 10.20PM
 NIGDI,DEHUGAON KRIDA SANKUL,5.30AM 6.20AM 6.55AM 7.40AM 8.25AM 9.10AM 9.55AM 10.40AM 12.00PM 12.40PM 2.45PM 3.30PM 4.15PM 4.55PM 5.50PM 6.30PM 7.15PM 8.00PM 9.15PM 10.00PM
 DEHUGAON KRIDA SANKUL,NIGDI, 6.10AM 7.00AM 7.40AM 8.30AM 9.10AM 9.50AM 10.40AM 11.25AM 12.45PM 1.25PM 3.30PM 4.15PM 4.55PM 5.50PM 6.30PM 7.15PM 8.00PM 8.45PM 10.00PM 10.45PM
 ALANDI,TALEGAON DABHADE MARUTI MANDIR, 6.40AM 7.25AM 10.35AM 11.30AM 3.40PM 5.00PM
 TALEGAON DABHADE MARUTI MANDIR,ALANDI, 8.20AM 9.10AM 12.15PM 1.10PM 5.30PM 6.45PM
 BHOSARI,ALANDI, 6.10AM 6.55AM 3.10PM 4.30PM
 ALANDI,BHOSARI, 2.00PM 2.55PM 10.00PM 11.00PM
 ALANDI,DEHUGAON, 8.00PM 9.00PM
 DEHUGAON,ALANDI, 9.00PM 10.00PM
 BHOSARI,PIMPLE SAUDAGAR,6.00AM 6.30AM 6.50AM 7.00AM 7.15AM 7.25AM 7.40AM 8.00AM 8.10AM 8.25AM 8.35AM 8.50AM 9.00AM 9.10AM 9.30AM 9.45AM 10.10AM 10.30AM 10.55AM 11.10AM 11.25AM 11.40AM 12.00PM 12.10PM 12.20PM 12.35PM 12.50PM 1.00PM 1.20PM 1.35PM 1.45PM 1.55PM 2.10PM 2.20PM 2.40PM 2.55PM 3.10PM 3.20PM 3.30PM 3.45PM 3.55PM 4.10PM 4.30PM 4.40PM 4.50PM 5.05PM 5.20PM 5.30PM 5.50PM 6.00PM 6.15PM 6.30PM 6.50PM 7.10PM 7.30PM 8.00PM 8.15PM 8.35PM 8.50PM 9.00PM 9.30PM 10.10PM
 PIMPLE SAUDAGAR,BHOSARI, 6.40AM 7.10AM 7.35AM 7.45AM 8.00AM 8.10AM 8.30AM 8.45AM 9.00AM 9.10AM 9.20AM 9.40AM 9.50AM 10.05AM 10.20AM 10.35AM 10.55AM 11.20AM 11.45AM 11.55AM 12.15PM 12.30PM 12.40PM 12.55PM 1.05PM 1.25PM 1.35PM 1.50PM 2.05PM 2.15PM 2.25PM 2.35PM 2.55PM 3.05PM 3.25PM 3.40PM 4.00PM 4.10PM 4.20PM 4.30PM 4.45PM 5.00PM 5.20PM 5.30PM 5.40PM 5.55PM 6.05PM 6.25PM 6.40PM 6.55PM 7.05PM 7.20PM 7.35PM 8.00PM 8.20PM 8.50PM 9.00PM 9.20PM 9.35PM 9.50PM 10.10PM 10.55PM
 CHARHOLIGAON,PIMPLE SAUDAGAR, 6.20AM 7.00AM 9.30AM 2.40PM 5.00PM
 PIMPLE SAUDAGAR,CHARHOLIGAON, 8.20AM 11.05AM 3.50PM 6.15PM 7.20PM
 CHARHOLIGAON,PIMPLE SAUDAGAR, 6.20AM 8.20AM 10.35AM 3.50PM 6.15PM
 PIMPLE SAUDAGAR,CHARHOLIGAON, 7.00AM 9.30AM 2.45PM 5.10PM 7.20PM
 NIGDI,JAMBE,5.20AM 7.15AM 9.15AM 11.55AM 3.20PM 5.25PM 7.55PM
 JAMBE,NIGDI, 6.15AM 8.15AM 10.20AM 12.55PM 4.20PM 6.30PM 8.55PM
STATION,HINJEWADI , 4.35AM 5.20AM 6.05AM 6.50AM 7.35AM 8.20AM 8.35AM 9.20AM 10.05AM 10.50AM 11.35AM 12.20PM 12.40PM 1.15PM 2.05PM 2.50PM 3.35PM 4.20PM 4.35PM 5.20PM 6.05PM 6.50PM 7.45PM 8.45PM
 HINJEWADI ,STATION, 6.05AM 6.50AM 7.35AM 8.20AM 9.05AM 9.55AM 10.15AM 11.00AM 11.45AM 12.30PM 1.15PM 2.00PM 2.15PM 2.50PM 3.40PM 4.25PM 5.10PM 6.00PM 6.20PM 7.05PM 7.50PM 8.35PM 9.30PM 10.30PM
 GHARKUL VASAHAT,PIMPRIGAON, 6.30AM 7.50AM 9.30AM 11.15AM 5.00PM 6.30PM
 PIMPRIGAON,GHARKUL VASAHAT, 7.15AM 8.30AM 10.25AM 12.35PM 5.40PM
 DANGE CHOWK,SANGAWADE, 5.45AM 7.25AM 9.05AM 11.15AM 3.00PM 4.40PM 6.30PM 9.00PM
 SANGAWADE,DANGE CHOWK,6.35AM 8.10AM 9.55AM 12.05PM 3.45PM 5.30PM 7.25PM 9.50PM
 NIGDI,WAGHOLI, 5.40AM 6.20AM 6.50AM 7.15AM 7.40AM 8.05AM 8.30AM 8.55AM 9.15AM 9.40AM 10.05AM 10.30AM 10.55AM 11.15AM 11.40AM 12.05PM 12.30PM 12.55PM 1.15PM 1.40PM 2.20PM 3.10PM 3.50PM 4.15PM 4.40PM 5.05PM 5.25PM 5.45PM 6.00PM 6.20PM 6.50PM 7.20PM 7.45PM 8.15PM 8.40PM 9.25PM 9.30PM 9.45PM 10.30PM
 WAGHOLI,NIGDI, 5.20AM 6.00AM 6.45AM 7.10AM 7.30AM 7.45AM 8.05AM 8.30AM 8.55AM 9.20AM 9.45AM 10.10AM 10.35AM 11.00AM 11.30AM 11.55AM 12.25PM 1.05PM 1.50PM 2.15PM 2.35PM 3.00PM 3.35PM 3.55PM 4.10PM 4.35PM 5.00PM 5.30PM 6.00PM 6.25PM 6.50PM 7.15PM 7.30PM 7.50PM 8.05PM 8.45PM 9.15PM 10.00PM 11.10PM
 CHINCHAWADGAON,WAGHOLI,6.15AM 7.50AM 10.15AM 11.50AM 3.00PM 4.35PM 7.10PM
WAGHOLI,CHINCHWADGAON,7.50AM 9.30AM 12.05PM 1.40PM 4.45PM 6.20PM 9.00PM
 BALEWADI DEPO,CHINCHWADGAON,7.25AM
CHINCHWADGAON,BALEWADI DEPO, 8.05PM
 SANT NAGAR,KATRAJ, 5.45AM 6.30AM 9.55AM 1.45PM 3.30PM 6.00PM
 KATRAJ,SANT NAGAR, 7.30AM 8.15AM 11.45AM 3.35PM 5.30PM 8.00PM
 NIGDI,ALANDI,6.10AM 6.50AM 7.45AM 8.45AM 9.45AM 10.45AM 12.15PM 1.15PM 2.55PM 3.50PM 4.55PM 6.00PM 7.50PM
 ALANDI,NIGDI, 6.55AM 7.45AM 8.45AM 9.45AM 10.45AM 11.45AM 1.15PM 2.10PM 3.50PM 4.55PM 6.00PM 7.10PM 8.50PM
 NIGDI,URSEGAON VASUDEV ASHRAM,5.15AM 7.25AM 10.15AM 12.45PM 3.00PM 5.00PM 7.05PM
URSEGAON VASUDEV ASHRAM,NIGDI,6.30AM 8.50AM 11.45AM 1.45PM 4.00PM 6.00PM 8.35PM
 NIGDI,URSEGAON VASUDEV ASHRAM, 6.35AM 8.25AM 11.00AM 3.35PM 5.40PM
 URSEGAON VASUDEV ASHRAM,NIGDI, 7.30AM 9.30AM 12.05PM 4.35PM 6.35PM
 BHOSARI,TALEGAON DABHADE, 5.05AM 5.20AM 5.40AM 6.00AM 6.10AM 6.30AM 6.50AM 7.05AM 2.00PM 2.20PM 2.45PM 3.00PM 3.20PM 3.40PM 4.00PM 4.25PM
 TALEGAON DABHADE,BHOSARI, 11.55AM 12.10PM 12.30PM 12.50PM 1.05PM 1.25PM 1.45PM 2.10PM 7.00PM 7.20PM 7.40PM 8.00PM 8.20PM 8.45PM 9.15PM 9.35PM
 TALEGAON DABHADE,CHAKAN AMBETHAN, 6.50AM 7.05AM 7.25AM 7.45AM 8.00AM 8.20AM 8.40AM 8.55AM 9.10AM 9.25AM 9.45AM 10.05AM 10.20AM 10.40AM 11.00AM 11.20AM 4.00PM 4.15PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.30PM
 CHAKAN AMBETHAN,TALEGAON DABHADE, 8.00AM 8.15AM 8.35AM 8.55AM 9.10AM 9.30AM 9.50AM 10.10AM 10.25AM 10.40AM 10.55AM 11.15AM 11.30AM 11.50AM 12.10PM 1.00PM 5.15PM 5.35PM 5.55PM 6.15PM 6.35PM 7.00PM 7.30PM 8.15PM
 BANER DEPO,ALANDI, 6.30AM 8.10AM 10.30AM 12.10PM 2.35PM 4.20PM 6.30PM
 ALANDI,BANER DEPO, 8.15AM 9.55AM 12.10PM 1.55PM 4.15PM 6.00PM 8.15PM
 HINJEWADI,BHOSARI, 6.25AM 7.05AM 7.45AM 8.25AM 8.55AM 9.35AM 10.15AM 10.55AM 3.15PM 3.55PM 4.35PM 5.05PM 5.45PM 6.25PM 7.05PM 8.05PM
 BHOSARI,HINJEWADI , 7.40AM 8.20AM 9.00AM 9.40AM 10.40AM 11.20AM 12.00PM 12.40PM 4.30PM 5.10PM 5.50PM 6.50PM 7.30PM 8.10PM 8.50PM 9.20PM
BANER DEPO,HINJEWADI PHASE 3, 6.20AM 6.55AM 7.40AM 2.25PM 3.05PM 3.45PM 4.20PM
 HINJEWADI PHASE 3,BANER DEPO, 11.55AM 12.35PM 1.15PM 1.55PM 8.45PM
 WAGHOLI,BHOSARI, 5.30AM 6.30AM 7.00AM 7.30AM 8.00AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 12.00PM 12.30PM 1.00PM 1.50PM 2.20PM 2.50PM 3.20PM 3.50PM 4.20PM 4.50PM 5.20PM 5.50PM 6.20PM 6.50PM 7.50PM 8.50PM
 BHOSARI,WAGHOLI,6.50AM 7.50AM 8.20AM 8.50AM 9.20AM 9.50AM 10.20AM 10.50AM 11.20AM 11.50AM 12.20PM 12.50PM 1.20PM 1.50PM 2.20PM 3.10PM 3.40PM 4.10PM 4.40PM 5.10PM 5.40PM 6.10PM 6.40PM 7.10PM 7.40PM 8.10PM 9.10PM 10.10PM
 SANGVI,ALANDI, 7.40AM 10.25AM 3.45PM 6.35PM
 ALANDI,SANGVI, 9.00AM 12.30PM 5.10PM 8.00PM
 ABC CHOWK,SANGVI, 6.55AM 3.00PM
 SANGVI,ABC CHOWK, 1.45PM 9.50PM
 NIGDI,STATION, 5.20AM 5.35AM 5.50AM 6.05AM 6.20AM 6.35AM 6.50AM 7.05AM 7.20AM 7.30AM 7.40AM 7.50AM 8.05AM 8.20AM 8.35AM 8.50AM 9.05AM 9.20AM 9.35AM 9.50AM 10.10AM 10.30AM 10.50AM 11.10AM 11.25AM 11.40AM 11.55AM 12.10PM 12.25PM 12.40PM 12.55PM 1.10PM 1.30PM 1.50PM 2.10PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 4.00PM 4.20PM 4.40PM 5.00PM 5.20PM 5.40PM 6.00PM 6.20PM 6.35PM 6.50PM 7.05PM 7.20PM 7.40PM 8.10PM 8.40PM 9.20PM
STATION,NIGDI,6.30AM 6.45AM 7.00AM 7.15AM 7.30AM 7.45AM 8.00AM 8.15AM 8.30AM 8.40AM 8.55AM 9.10AM 9.25AM 9.40AM 9.55AM 10.10AM 10.25AM 10.40AM 10.55AM 11.10AM 11.30AM 11.50AM 12.10PM 12.30PM 12.45PM 1.00PM 1.15PM 1.30PM 1.45PM 2.00PM 2.15PM 2.30PM 2.50PM 3.10PM 3.30PM 4.10PM 4.25PM 4.40PM 4.55PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 6.50PM 7.10PM 7.30PM 8.00PM 8.15PM 8.30PM 8.45PM 9.00PM 9.20PM 9.50PM 10.20PM 11.00PM
 NIGDI,DEHUGAON, 4.45AM 5.00AM 5.15AM 5.30AM 5.45AM 6.00AM 6.10AM 6.20AM 6.35AM 6.50AM 7.05AM 7.20AM 7.35AM 7.45AM 8.00AM 8.15AM 8.30AM 8.45AM 9.00AM 9.15AM 9.25AM 9.40AM 9.55AM 10.10AM 10.25AM 10.45AM 11.05AM 11.25AM 11.45AM 12.00PM 12.15PM 12.30PM 12.50PM 1.05PM 1.20PM 1.35PM 1.50PM 2.05PM 2.20PM 2.35PM 2.50PM 3.05PM 3.15PM 3.30PM 3.45PM 4.00PM 4.15PM 4.30PM 4.45PM 4.55PM 5.10PM 5.25PM 5.40PM 5.55PM 6.10PM 6.25PM 6.35PM 6.50PM 7.05PM 7.20PM 7.40PM 8.00PM 8.20PM 8.40PM 9.00PM 9.15PM 9.30PM 9.45PM 10.00PM 10.15PM
 DEHUGAON,NIGDI, 5.30AM 5.45AM 6.00AM 6.15AM 6.30AM 6.45AM 6.55AM 7.10AM 7.25AM 7.40AM 7.55AM 8.10AM 8.25AM 8.35AM 8.50AM 9.05AM 9.20AM 9.35AM 9.50AM 10.05AM 10.15AM 10.30AM 10.45AM 11.00AM 11.15AM 11.35AM 11.55AM 12.15PM 12.35PM 12.50PM 1.05PM 1.20PM 1.35PM 1.50PM 2.05PM 2.25PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 3.55PM 4.05PM 4.20PM 4.35PM 4.50PM 5.05PM 5.20PM 5.35PM 5.45PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.15PM 7.25PM 7.40PM 7.55PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM 9.45PM 10.00PM 10.15PM 10.30PM 10.45PM 11.00PM
 ALANDI,JAMBE, 8.00AM 9.30AM 2.30PM 4.15PM 6.20PM
 JAMBE,ALANDI, 6.25AM 8.00AM 9.35AM 11.10AM 4.10PM 6.00PM 8.05PM
 BHOSARI,JAMBE, 5.15AM 6.50AM
 ALANDI,BHOSARI, 11.45AM 7.45PM
 BHOSARI,ALANDI, 1.55PM
